user_id,image_id,attribute,score
user1,,Self aesthetic accomplishment,5
user1,,Level of understanding of visualization,4
user1,,Use and understanding of visual view,4
user1,image1,aesthetic,7
user1,image1,readability,6
user1,image2,aesthetic,7
user1,image2,readability,6
user1,image3,aesthetic,7
user1,image3,readability,6
user1,image4,aesthetic,7
user1,image4,readability,7
user1,image5,aesthetic,7
user1,image5,readability,7
user1,image6,aesthetic,7
user1,image6,readability,7
user2,,Self aesthetic accomplishment,5
user2,,Level of understanding of visualization,5
user2,,Use and understanding of visual view,5
user2,image1,aesthetic,6
user2,image1,readability,6
user2,image2,aesthetic,7
user2,image2,readability,4
user2,image3,aesthetic,4
user2,image3,readability,5
user2,image4,aesthetic,4
user2,image4,readability,4
user2,image5,aesthetic,5
user2,image5,readability,5
user2,image6,aesthetic,6
user2,image6,readability,6
user3,,Self aesthetic accomplishment,4
user3,,Level of understanding of visualization,6
user3,,Use and understanding of visual view,3
user3,image1,aesthetic,6
user3,image1,readability,3
user3,image2,aesthetic,6
user3,image2,readability,2
user3,image3,aesthetic,2
user3,image3,readability,4
user3,image4,aesthetic,4
user3,image4,readability,3
user3,image5,aesthetic,6
user3,image5,readability,7
user3,image6,aesthetic,6
user3,image6,readability,6
user4,,Self aesthetic accomplishment,7
user4,,Level of understanding of visualization,7
user4,,Use and understanding of visual view,5
user4,image1,aesthetic,7
user4,image1,readability,5
user4,image2,aesthetic,7
user4,image2,readability,7
user4,image3,aesthetic,7
user4,image3,readability,7
user4,image4,aesthetic,4
user4,image4,readability,7
user4,image5,aesthetic,7
user4,image5,readability,7
user4,image6,aesthetic,5
user4,image6,readability,7
user5,,Self aesthetic accomplishment,7
user5,,Level of understanding of visualization,5
user5,,Use and understanding of visual view,1
user5,image1,aesthetic,3
user5,image1,readability,2
user5,image2,aesthetic,5
user5,image2,readability,1
user5,image3,aesthetic,2
user5,image3,readability,3
user5,image4,aesthetic,3
user5,image4,readability,3
user5,image5,aesthetic,5
user5,image5,readability,6
user5,image6,aesthetic,6
user5,image6,readability,6
user6,,Self aesthetic accomplishment,7
user6,,Level of understanding of visualization,6
user6,,Use and understanding of visual view,4
user6,image1,aesthetic,6
user6,image1,readability,5
user6,image2,aesthetic,7
user6,image2,readability,4
user6,image3,aesthetic,5
user6,image3,readability,5
user6,image4,aesthetic,7
user6,image4,readability,6
user6,image5,aesthetic,7
user6,image5,readability,6
user6,image6,aesthetic,7
user6,image6,readability,7
user7,,Self aesthetic accomplishment,4
user7,,Level of understanding of visualization,2
user7,,Use and understanding of visual view,1
user7,image1,aesthetic,6
user7,image1,readability,6
user7,image2,aesthetic,5
user7,image2,readability,5
user7,image3,aesthetic,6
user7,image3,readability,6
user7,image4,aesthetic,5
user7,image4,readability,6
user7,image5,aesthetic,4
user7,image5,readability,4
user7,image6,aesthetic,6
user7,image6,readability,6
user8,,Self aesthetic accomplishment,5
user8,,Level of understanding of visualization,5
user8,,Use and understanding of visual view,5
user8,image1,aesthetic,5
user8,image1,readability,5
user8,image2,aesthetic,3
user8,image2,readability,1
user8,image3,aesthetic,3
user8,image3,readability,3
user8,image4,aesthetic,6
user8,image4,readability,6
user8,image5,aesthetic,4
user8,image5,readability,7
user8,image6,aesthetic,4
user8,image6,readability,4
user9,,Self aesthetic accomplishment,5
user9,,Level of understanding of visualization,6
user9,,Use and understanding of visual view,4
user9,image1,aesthetic,6
user9,image1,readability,6
user9,image2,aesthetic,6
user9,image2,readability,2
user9,image3,aesthetic,3
user9,image3,readability,1
user9,image4,aesthetic,5
user9,image4,readability,7
user9,image5,aesthetic,4
user9,image5,readability,6
user9,image6,aesthetic,4
user9,image6,readability,5
user10,,Self aesthetic accomplishment,5
user10,,Level of understanding of visualization,5
user10,,Use and understanding of visual view,5
user10,image1,aesthetic,5
user10,image1,readability,5
user10,image2,aesthetic,3
user10,image2,readability,1
user10,image3,aesthetic,3
user10,image3,readability,3
user10,image4,aesthetic,6
